,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
522,graph_522,100,7.813187267521416,1,-2.5493572045519852,0.4995959595959596,3.7612001156935624,0.57,-0.57029874,0.3086046589114291,(0.454276249550353+0j),(0.2362006398197364+0j),(-0.35794193694164406+0j),1,2,0.6931471805599453,3,4.590488051818224,0.6735555376480725,1.134845620667927,0.728265263052345,0.2478,0.9899,0.9742,0.9968006687713743,0.03988994676000489
523,graph_523,100,8.068716192714781,1,-2.5171758002877214,0.6450505050505051,3.970291913552122,0.47,-0.52316577,0.3750267778624514,(0.42243017710936165+0j),(0.14031649441159041+0j),(-0.25766755233036975+0j),1,2,0.6931471805599453,3,4.588266096732893,0.738171502169768,1.1334340382678751,0.7049804515839614,0.2542,0.9899,0.9698,0.9980943682863512,0.027549668262744922
524,graph_524,100,8.07961802938984,1,-2.515825588162885,0.6521212121212121,4.007333185232471,0.46,-0.51558348,0.36979230536303476,(0.41701010841916336+0j),(0.13769506541252738+0j),(-0.27807424594642155+0j),1,2,0.6931471805599453,3,4.58825774195566,0.7461261582175979,1.1324636226793778,0.6991942296298365,0.2419,0.9899,0.9792,0.9991856561447746,0.01847818316290616
525,graph_525,100,7.911690520708339,1,-2.5368287076111193,0.5513131313131313,3.784189633918261,0.57,-0.5936317,0.40307559379362545,(0.47003829553677545+0j),(0.17980161209316262+0j),(-0.22929690097861577+0j),1,2,0.6931471805599453,3,4.589041347655621,0.669594387242193,1.12896174863388,0.7570539830845844,0.2277,0.99,0.9895,0.9998284996210173,0.00541571275575014
526,graph_526,100,8.045908742270779,1,-2.5200064545244705,0.6305050505050505,3.9512437185814275,0.49,-0.54954951,0.4267548658160356,(0.4403315807469073+0j),(0.11908643997206506+0j),(-0.254158161903389+0j),1,2,0.6931471805599453,3,4.5882486294967935,0.7185705113744816,1.127363184079602,0.726049343132188,0.2481,0.99,0.99,1.0000000000372644,0.0
527,graph_527,100,7.989560449333865,1,-2.527034440322172,0.5959595959595959,3.8501476017100584,0.54,-0.57884491,0.44349443916718134,(0.4598262924274223+0j),(0.1312952478839937+0j),(-0.2346349121729029+0j),1,2,0.6931471805599453,3,4.588466938514236,0.6885229695951194,1.1262135922330097,0.7471186086078776,0.2577,0.99,0.9897,0.999996871418527,0.00010038509043142776
528,graph_528,100,8.12058871174027,1,-2.5107675329967614,0.6793939393939394,4.060443010546419,0.43,-0.48923951,0.33163393113972517,(0.39874367052508725+0j),(0.14696871111301954+0j),(-0.2793894741249655+0j),1,2,0.6931471805599453,3,4.588049699254922,0.7707139378591604,1.125677673730902,0.6794529632473313,0.2571,0.99,0.9791,0.986659382410007,0.08387483572054547
529,graph_529,100,8.057060681965766,1,-2.518621375638204,0.6375757575757576,3.9889840465642745,0.46,-0.52816745,0.39466238551359223,(0.42575330339258943+0j),(0.12758436874896215+0j),(-0.27858967103993176+0j),1,2,0.6931471805599453,3,4.588385147902517,0.7344502833061377,1.1224899598393574,0.7084917202121502,0.2484,0.99,0.9897,0.9993399512182382,0.011784071623324842
530,graph_530,100,7.999342952713282,1,-2.525810778592023,0.6018181818181818,3.871201010907891,0.51,-0.57036169,0.4342376799771934,(0.4543679275737083+0j),(0.13185227554140805+0j),(-0.2378166053063499+0j),1,2,0.6931471805599453,3,4.5884675757698705,0.6950374710197785,1.1180942726811962,0.7405169604068057,0.2515,0.99,0.9892,0.9995589188391549,0.00997092890203811
531,graph_531,100,7.731053144007127,1,-2.559925091529398,0.4602020202020202,3.7612001156935624,0.58,-0.55028745,0.22106088627253562,(0.4402786037447013+0j),(0.28674086656933256+0j),(-0.42841818475855237+0j),1,2,0.6931471805599453,3,4.591651697078701,0.701140941012717,1.1155950752393982,0.7159789772926327,0.2517,0.99,0.9899,0.9997405823151375,0.008197267755018976
